phi  /  Degrees,Si Si Si,Si Si O,Si O Si,Si O O,O Si O,O O O
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.04711287386783418,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0471067882839307
11,0.0,0.03675655101006898,0.0,0.014484713110504322,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,2.3062446663370983,0.0,6.224736715112618,0.0,0.0
14,0.0,1.0579072699823076,0.0,1.2227866126060758,0.0,0.0
15,0.0,0.0,0.0,0.694999641713823,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,1.5514775323730092,0.0,0.6121489289725317,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.043448526347435776
19,0.0,0.0,0.0,0.0,0.0,0.09421357656786135
20,0.0,0.0,0.0,5.279110331449077,0.0,0.0
21,0.0,4.437956569307218,0.0,0.0,4.135363341716224,0.04710678828393071
22,0.0,8.887303048443256,0.0,0.04711287386783418,4.5990055199310715,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.15577044921071745,0.0,0.0,0.0,0.0,1.111808950365492
26,0.0,0.0,0.0,0.0,1.9270176053866703,0.4172705245222814
27,0.0,0.0,0.0,0.0,0.9635045063345182,0.0
28,0.0,0.0,0.44988202706503405,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,3.405899490586685
30,0.0,0.0,0.0,0.09422574773566834,0.0,4.472211392329114
31,2.24165038032129,0.0,0.0,0.0,0.0,0.0
32,0.0,0.110269653030207,0.0,0.04345413933151302,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,2.1105903329283078
34,0.0,0.0,0.0,0.023555448257890427,0.0,0.0
35,8.381354129689743,1.9777157487981207,4.249135411070948,22.769504237805346,0.0,0.05793136846324771
36,0.0,0.16417597757096142,0.0,0.25892783671422626,0.0,0.01448284211581191
37,0.0,0.328528932608744,0.0,0.12949878628517306,8.271357908090005,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,1.586860904973459,0.0,0.0,0.0,0.2355339414196539
41,0.0,0.0,0.0,0.6946281511677045,0.0,0.0
42,0.0,0.0,0.0,0.0,0.714033155634319,0.0
43,0.0,0.0,0.0,0.833983955012733,0.0,0.0
44,0.1168278369080381,1.5514776864108402,0.0,1.834169826189122,0.0,0.11227760070844621
45,0.35048351072411454,0.0,0.0,0.0,0.0,0.0796556316369656
46,0.0,3.249981585882819,0.0,1.8921189413738615,1.9270176053866708,0.0
47,0.0,0.0,0.0,0.023555448257890427,0.0,1.714861223495944
48,0.0,0.0,18.247388549259682,0.0,0.6423469411230445,0.0
49,0.0,3.9554314975962375,0.0,1.5616153237371915,0.0,1.4839943494451422
50,1.681237665725564,0.0,0.44988202706503405,0.0706702994777779,0.20402517280165086,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.8997640541300705,0.04711287386783418,0.40805034560330267,0.0
53,0.0,0.32852890246921246,0.0,0.38835688714328,0.0,0.18607311786349068
54,0.3115408984214351,0.07351310202013797,0.0,0.028969426221008655,3.854035210773324,1.3018443772401425
55,0.0,1.9794419225558406,0.0,0.19419590223008498,0.40805034560330267,0.09421357656786135
56,0.0,0.0,0.0,0.0,0.0,0.047106788283930716
57,0.0,0.0,2.8308945950627242,0.27834011714393864,1.283988558285637,0.0
58,4.483301238554326,1.0579072699823076,0.0,0.0,0.0,1.3898197368075698
59,2.79174281833707,0.03675655101006898,0.0,0.014484713110504322,0.0,18.311265716896628
60,8.378261087508603,0.0,0.0,0.0,0.0,10.978983958602662
61,0.0,4.16086249327659,0.0,6.502652566724638,0.0,0.0
62,0.0,0.3285289175389783,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.13536739072827464,0.0,1.2504819335930926
64,3.362475928915745,0.0,4.249135411070948,1.6679679100254665,2.729421182560468,0.0
65,0.0,0.0,0.44988202706503405,2.2417729558015824,0.0,0.13400384097880225
66,0.0,0.0,0.44988202706503405,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.04710678828393071
68,0.0,0.0,1.4152404645385532,0.9282097027484018,0.0,0.0
69,0.0,0.0,0.0,0.19419585284125448,0.3059828100310171,0.0
70,0.0,0.0,0.0,0.0,0.0,2.778807659938226
71,0.0,3.9554314975962375,0.0,12.61716673942494,0.0,0.01448284211581191
72,0.15577044921071745,3.102955381842542,3.5398064759616212,0.04711287386783418,1.7083097009630377,0.27793272130780455
73,0.0,0.0,0.7093289351093278,0.0,0.3206655416530006,7.878110882915823
74,0.0,0.0,0.0,0.023555448257890427,3.854035210773324,0.01448284211581191
75,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,3.176468488373112,0.0,3.6973393567592163,0.1020675355722851,0.0
77,0.0,0.0,0.0,0.02355742560994374,0.30598281003101707,1.7626308546701104
78,0.0,1.7511253788127144,4.249135411070949,0.19423074546372962,0.6418549175645722,0.0
79,0.0,0.0,0.0,10.558220662898144,0.0,0.1884271531357229
80,0.0,0.07351310202013797,18.238605713678194,0.028969426221008655,8.271815287523575,4.219614836130063
81,0.0,0.3012333685056459,0.0,0.014484713110504326,0.0,0.0
82,0.0,0.16417597757096142,0.0,0.8623065292989774,0.0,0.555904406545897
83,0.0,0.0,0.44988202706503405,0.27796862659782007,0.0,0.047106788283930716
84,0.0,0.0,0.0,0.20013224048283773,0.0,0.2776393438815036
85,0.0,0.0,0.0,0.02355742560994374,0.0,0.047106788283930716
86,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0
89,8.457691815740143,4.285001275801339,0.0,1.1051075182674366,0.0,7.206754551457209
90,15.047338505092235,3.954390636930114,0.0,2.147587047564065,0.0,8.557227904857807
91,0.0,0.0,0.0,0.0,1.4723100769956325,0.0
92,0.0,0.5289536349911538,0.0,0.0,4.685422916416523,0.0
93,0.0,0.0,0.0,0.0,5.513952340858562,0.0
94,0.0,0.0,0.0,0.02355742560994374,0.0,0.047106788283930716
95,1.120824951179791,3.102955381842542,0.0,0.20013224048283773,1.9270176053866703,0.2776393095854985
96,0.0,0.0,0.44988202706503405,0.27796862659782007,0.20402517280165086,0.047106788283930716
97,0.0,26.65051923550095,0.0,0.8623062795587062,16.550679413576173,0.5559045438195946
98,0.0,0.03675655101006898,0.0,0.014484713110504326,0.0,0.0
99,0.0,0.07351310202013797,18.239617092134306,0.028969426221008655,0.0,4.2196139563675175
100,2.2416506192771664,0.5289536349911538,0.0,10.558220662898139,0.0,0.1884271531357229
101,0.0,0.16426444369972343,4.249135411070948,0.19416100960760987,1.9270176053866703,0.0
102,0.0,0.16435293996801686,0.0,0.02355742560994374,0.20402517280165086,1.6670876381284967
103,0.0,3.176468479352251,0.0,3.697319171319233,0.0,0.0
104,0.0,1.3223840874778832,0.0,0.0,1.283309980372654,0.0
105,0.0,0.0,0.0,0.023555448257890427,0.0,0.014482842115811906
106,0.0,0.0,0.7066664101187218,0.0,0.0,7.878110514921746
107,0.1557704492107175,0.0,3.5424690009522273,0.0,0.0,0.2776096843171959
108,0.0,3.9554314975962375,0.0,12.664279613292765,0.0,0.014482842115811906
109,65.22838744599501,30.783389472182524,0.0,0.0,48.33802604366884,2.2507361704808386
110,0.0,1.0579072699823076,0.0,0.19419590223008498,1.9270176053866703,0.0
111,0.0,0.0,1.4153106081490048,0.9282097027484018,0.6416365525099639,0.0
112,0.0,0.0,0.0,0.0,0.0,0.04710678828393071
113,0.0,0.3285289175389783,0.44988202706503405,0.0,0.30609270837393593,0.0
114,0.0,0.0,0.44988202706503405,2.241773046106776,0.20402517280165086,0.11044945828851783
115,3.362475928915745,0.0,4.249135411070949,1.6679679100254665,0.0,0.02355438269028444
116,0.0,0.0,0.0,0.13543712658439439,0.0,1.2511467535799694
117,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,3.102955540390806,0.0,6.501141321385654,16.544433067019394,0.0
119,2.791801193092039,0.0,0.0,0.0,1.4428837362655946,16.221603233762085
120,2.79174281833707,0.03675655101006898,0.0,0.014484713110504322,0.0,12.028377818075308
121,0.0,0.0,0.0,0.0,0.0,1.3898197368075698
122,0.0,0.0,2.8285732847759975,0.2783401171439387,0.0,0.0
123,0.0,0.0,0.0,0.0,0.40805034560330267,0.047106788283930716
124,0.0,0.0,0.0,0.19419585284125448,0.0,0.09421357656786136
125,0.3115408984214351,0.07351310202013797,0.0,0.028969426221008655,0.0,1.3018443772401425
126,0.0,0.328528932608744,0.0,0.38842662299939923,0.0,0.047106788283930716
127,0.0,0.0,0.8997640541300705,0.04711287386783418,0.0,0.0
128,0.0,0.5289536349911538,0.0,0.0,0.0,0.0
129,0.0,0.0,0.44988202706503405,0.0706702994777779,0.0,0.0
130,0.0,3.9554314975962375,0.0,1.5616153237371915,0.0,1.3897806356035844
131,0.0,14.118690070237223,18.247388549259682,0.0,10.202357312174724,0.0
132,0.0,0.0,0.0,0.023555448257890427,0.0,1.7148572693026647
133,0.0,0.14702620404027603,0.0,1.8921186013283957,0.0,0.0
134,0.03894261230267936,0.0,0.0,0.0,0.0,0.021724263173717877
135,0.1168278369080381,1.5514776954317009,0.0,1.8341900116291046,1.2828128921615554,0.06517278952115367
136,0.0,0.3285289175389783,0.0,0.833983955012733,0.20402517280165086,0.0
137,0.0,0.0,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.6946281511677046,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0,0.2355339414196539
140,0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.30609270837393593,0.0
142,0.0,0.32852890246921246,0.0,0.1294290504290533,0.0,0.0
143,0.0,0.0,0.0,0.25892783671422626,0.40805034560330267,0.014482842115811906
144,8.941766605279643,1.9777157487981207,4.249135411070949,22.76950423780534,1.9270176053866703,0.05793136846324771
145,0.0,0.0,0.0,0.023555448257890427,0.0,0.0
146,0.0,0.0,0.0,0.0,0.0,2.109024237046921
147,0.0,0.11026965303020703,0.0,0.04345413933151302,0.0,0.0
148,2.2416508582330428,0.0,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.09422574773566834,0.0,3.4202514207600174
150,2.2416506192771664,1.0579072699823076,0.0,0.0,0.0,4.457859094161709
151,0.0,3.102955381842542,0.44988202706503405,0.0,2.1310427781883234,0.0
152,0.0,0.16435293996801686,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,0.0,4.136038163706424,0.4166057045354057
154,0.1557704492107175,1.0579072699823076,0.0,0.0,0.0,1.1114859133748833
155,0.0,0.0,0.0,0.0,0.0,0.0
156,0.0,0.0,0.0,0.0,0.0,0.0
157,0.0,0.0,0.0,0.04711287386783418,0.0,0.0
158,0.0,0.0,0.0,0.0,0.0,0.04710678828393071
159,0.0,0.0,0.0,5.279110331449076,0.0,0.0
160,0.0,0.0,0.0,0.0,0.6416549206471093,0.09421357656786136
161,0.0,0.0,0.0,0.0,0.0,0.043448526347435776
162,0.0,1.5514778494695318,0.0,0.6106376836335423,0.0,0.0
163,0.0,0.0,0.0,0.0,0.05103376600206369,0.0
164,0.0,0.0,0.0,0.6949996417138229,0.0,0.0
165,0.0,0.0,0.0,1.2227866126060758,1.9270176053866712,0.0
166,0.0,1.9777157487981207,0.0,6.2248064509687415,0.0,0.0
167,0.0,0.0,0.0,0.0,0.0,0.0
168,0.0,0.03675655101006898,0.0,0.014484713110504322,0.0,0.0
169,0.0,0.0,0.0,0.0,0.0,0.0471067882839307
170,0.0,0.0,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0,0.0,0.0
173,0.0,0.0,0.0,0.04711287386783418,0.0,0.0
174,0.0,0.0,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,0.0,0.0,0.0
176,0.0,0.0,0.0,0.0,0.0,0.0
177,0.0,0.0,0.0,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0,0.0,0.0
179,0.0,0.0,46.99554947566377,0.0,0.0,14.159129169360426
180,0.0,0.0,0.0,0.0,0.0,0.0
